region,bygnType,statistikkvariabel,aar,value,k_kode,kommune_nr,fylkesnr,fylke
Moss,Enebolig,Boliger (bebodde og ubebodde),2011,8780,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2012,8774,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2013,8820,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2014,8857,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2015,8884,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2016,8910,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2017,8953,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2018,9007,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2019,9017,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2020,8997,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2021,9000,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2022,9012,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2023,9039,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2024,9086,K-3103,3103,31,Østfold
Moss,Enebolig,Boliger (bebodde og ubebodde),2025,9095,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2006,1634,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2007,1633,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2008,1646,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2009,1668,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2010,1666,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2011,1692,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2012,1694,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2013,1695,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2014,1711,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2015,1725,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2016,1768,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2017,1786,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2018,1798,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2019,1787,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2020,1860,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2021,1882,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2022,1904,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2023,1924,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2024,1920,K-3103,3103,31,Østfold
Moss,Tomannsbolig,Boliger (bebodde og ubebodde),2025,1945,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2006,3906,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2007,3969,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2008,4028,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2009,4129,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2010,4164,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2011,4176,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2012,4196,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2013,4228,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2014,4249,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2015,4298,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2016,4356,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2017,4414,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2018,4471,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2019,4549,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2020,4392,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2021,4446,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2022,4570,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2023,4619,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2024,4657,K-3103,3103,31,Østfold
Moss,"Rekkehus, kjedehus og andre småhus",Boliger (bebodde og ubebodde),2025,4693,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2006,4688,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2007,4831,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2008,5047,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2009,5241,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2010,5270,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2011,5324,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2012,5418,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2013,5442,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2014,5668,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2015,5768,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2016,5834,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2017,5915,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2018,6252,K-3103,3103,31,Østfold
